Date,javascript,sql,java,c#,php,python,c++,ruby,c,objective-c
1/1/16,43,6,32,10,13,17,12,7,0,3
1/2/16,50,10,39,4,8,22,11,13,50,1
1/3/16,61,16,51,11,13,17,2,16,0,2
1/4/16,89,40,67,26,16,29,14,32,30,4
1/5/16,107,34,84,35,23,35,9,31,40,1
1/6/16,134,33,87,42,17,41,17,31,10,7
1/7/16,122,44,97,35,19,45,19,28,0,4
1/8/16,108,66,106,34,32,51,17,27,60,7
1/9/16,49,14,41,13,11,23,3,17,50,3
1/10/16,55,20,43,11,11,33,10,13,10,4
1/11/16,123,43,106,21,27,32,5,21,10,10
1/12/16,120,41,100,39,21,60,16,27,20,5
1/13/16,130,82,102,30,16,43,12,39,40,7
1/14/16,128,54,97,38,24,47,13,34,50,11
1/15/16,108,40,85,38,20,54,17,25,80,4
1/16/16,62,16,46,11,24,17,6,20,60,5
1/17/16,61,15,39,7,13,32,3,15,40,3
1/18/16,115,34,81,30,17,33,14,26,40,0
1/19/16,126,45,97,24,29,59,16,20,40,4
1/20/16,147,47,103,33,27,50,15,20,20,4
1/21/16,153,27,117,36,26,42,14,33,20,10
1/22/16,128,46,88,24,20,41,10,19,30,8
1/23/16,75,13,56,12,18,39,3,19,50,5
1/24/16,82,17,57,9,12,25,6,22,10,2
1/25/16,122,25,98,26,29,65,16,25,30,4
1/26/16,126,45,103,24,21,40,12,32,40,6
1/27/16,158,56,120,27,18,58,17,41,20,11
1/28/16,145,47,109,28,25,57,18,33,40,3
1/29/16,117,55,91,31,24,51,19,25,40,10
1/30/16,78,20,54,14,21,28,5,14,30,2
1/31/16,49,15,53,17,12,14,7,10,60,5
2/1/16,138,25,103,29,25,29,7,24,30,5
2/2/16,116,41,89,45,24,29,14,32,40,9
2/3/16,123,59,100,31,27,63,9,32,30,11
2/4/16,110,62,99,28,24,43,12,28,90,3
2/5/16,97,38,64,23,28,47,10,30,80,4
2/6/16,68,18,53,9,10,31,6,13,30,7
2/7/16,63,10,52,16,15,28,12,9,50,3
2/8/16,119,31,84,30,23,45,17,15,20,3
2/9/16,136,55,119,42,30,60,25,24,70,4
2/10/16,134,61,124,38,20,48,21,23,30,5
2/11/16,146,63,116,41,29,79,19,48,70,3
2/12/16,149,39,108,30,20,54,16,28,80,11
2/13/16,53,22,50,14,12,31,7,25,70,1
2/14/16,49,8,44,13,11,34,7,6,50,2
2/15/16,97,33,89,21,39,49,11,28,60,4
2/16/16,113,33,89,32,23,51,12,15,30,6
2/17/16,116,56,100,36,20,49,19,28,50,6
2/18/16,131,52,102,42,24,64,15,49,90,4
2/19/16,110,58,83,27,22,63,16,43,30,10
2/20/16,63,24,55,6,8,33,3,18,70,4
2/21/16,78,16,51,13,16,22,9,13,60,1
2/22/16,126,57,105,27,29,36,20,30,50,7
2/23/16,117,53,95,41,33,67,9,28,50,6
2/24/16,141,51,117,26,26,41,16,38,40,8
2/25/16,137,48,92,41,21,62,17,37,80,4
2/26/16,135,39,108,36,32,39,15,29,40,7
2/27/16,73,14,52,12,11,20,11,12,50,0
2/28/16,69,20,48,23,14,29,10,22,40,1
2/29/16,150,46,111,26,32,47,13,31,60,8
3/1/16,155,38,124,44,28,46,21,43,50,7
3/2/16,139,42,109,33,23,50,17,34,80,8
3/3/16,150,54,108,35,26,48,20,21,50,7
3/4/16,98,39,88,45,18,66,18,33,60,2
3/5/16,71,17,66,15,14,29,9,18,20,1
3/6/16,61,18,46,13,9,22,12,8,40,2
3/7/16,122,34,95,25,19,43,23,28,50,3
3/8/16,166,39,127,34,25,42,24,24,30,9
3/9/16,136,51,107,35,33,29,17,32,40,6
3/10/16,116,47,115,44,23,48,8,37,50,4
3/11/16,135,41,92,26,24,39,13,34,40,3
3/12/16,54,17,41,16,4,32,3,11,0,1
3/13/16,84,26,64,19,11,20,8,28,50,2
3/14/16,125,40,89,27,21,32,19,36,60,4
3/15/16,144,48,114,35,28,47,12,34,50,5
3/16/16,117,47,95,41,29,38,17,28,100,5
3/17/16,119,42,91,27,18,48,16,26,40,4
3/18/16,137,30,117,26,27,41,20,32,60,4
3/19/16,53,22,51,9,7,19,7,34,60,0
3/20/16,62,22,51,10,10,23,15,19,0,1
3/21/16,109,36,87,23,18,48,14,32,40,5
3/22/16,131,40,111,39,15,47,11,27,40,4
3/23/16,108,45,104,39,19,53,19,24,40,3
3/24/16,127,39,98,39,15,38,17,20,30,5
3/25/16,121,20,85,34,13,40,22,42,60,4
3/26/16,71,13,48,13,17,17,12,12,30,4
3/27/16,57,12,43,14,14,30,6,15,90,2
3/28/16,94,47,101,19,16,51,23,22,30,7
3/29/16,131,48,112,26,18,43,7,26,60,6
3/30/16,157,51,112,22,18,49,17,37,40,7
3/31/16,135,32,104,42,23,50,15,36,50,2
4/1/16,116,35,100,22,18,36,27,21,30,5
4/2/16,51,18,49,8,17,28,9,7,30,6
4/3/16,63,19,53,10,16,38,9,21,0,2
4/4/16,125,35,86,29,22,38,19,30,80,5
