month,javascript,sql,java,c#,php,python,c++,c,nodejs,ruby,objective-c
12,1503397,0,657659,274982,358205,2164255,1022995,1552216,0,1208308,782529
8,1397013,0,597739,313908,348668,2336207,1008313,1761435,0,1182923,818735
9,1261592,0,561153,307251,335047,2060366,958865,1549379,0,1076620,766081
11,1695568,0,727269,406876,381947,2408642,1232866,1790506,0,1290418,925878
1,2686001,14,1010170,533510,578448,3666941,1839887,2578767,0,2095107,1505396
7,1174459,0,513731,300499,298268,2023418,1054132,1533865,0,994019,841110
6,1436267,0,655307,363592,383055,2455516,1178454,1891946,0,1166274,946323
3,2392379,15,920341,559093,518846,3406717,1755803,2428841,0,1683148,1406880
10,1328400,0,622503,330740,347994,2068189,1064927,1626871,0,1128671,863137
2,2827984,27,1068823,579769,592526,4128183,1944770,2879841,0,2037552,1575821
5,1471270,0,642419,390744,393812,2459256,1240440,1887726,0,1149349,1006964
4,1606953,3,649471,414020,423591,2375217,1243812,1730457,0,1092549,978518
