date,javascript,sql,java,c#,php,python,c++,c,nodejs,ruby,objective-c
12/23/16,33851,0,14978,4268,8544,44345,19858,29822,0,28048,13926
7/12/16,47236,0,21744,16477,13285,82184,42344,64081,0,42028,32147
3/22/16,72057,0,34215,18800,19889,141643,85677,116778,0,60064,75398
8/28/16,16732,0,5279,2800,4980,23262,11666,16369,0,10251,8081
11/4/16,56645,0,26136,15964,14357,95628,43642,78937,0,58528,31865
3/30/16,73569,0,30938,20744,20671,108706,66177,82647,0,48969,52697
3/19/16,35157,0,13927,7419,8776,49597,21414,36122,0,23310,17869
4/11/16,56261,0,25295,14113,13930,80838,46668,57595,0,36219,36745
10/16/16,20355,0,9947,2835,5087,23575,13231,17161,0,14506,10369
12/17/16,25501,0,13158,5893,6450,41106,23396,31067,0,20461,16153
10/21/16,52304,0,24987,14214,14266,75564,40202,59037,0,43800,32260
8/4/16,54801,0,24053,14252,12277,100510,41184,78898,0,52486,33257
10/9/16,23456,0,5359,5526,4704,21176,12908,14227,0,11436,8023
4/23/16,31981,0,12253,6946,6927,41428,19595,31127,0,17570,15507
1/26/16,121201,0,46814,23341,27825,157968,62518,104467,0,77146,47630
7/8/16,53002,0,27633,13799,14789,88613,45596,67979,0,43795,37427
3/7/16,116359,2,41237,15446,18009,136016,65905,95719,0,80737,59701
10/20/16,53230,0,27173,16260,16426,97284,43571,77569,0,53456,35753
7/27/16,51119,0,21729,11516,10687,73139,43317,54008,0,38951,33817
7/22/16,47391,0,20734,12557,11951,81470,35952,60620,0,40301,27861
11/7/16,64814,0,23509,14588,14988,102853,42219,70891,0,53391,31643
9/27/16,51398,0,27211,10029,12733,82476,34921,61584,0,46564,27553
11/20/16,29989,0,9698,7842,5232,30688,22995,22709,0,15748,13120
9/18/16,15436,0,5933,3643,3042,19575,11412,14270,0,11458,8103
11/2/16,53023,0,26650,15808,11817,95358,42641,76206,0,57265,30563
5/1/16,23393,0,7438,3236,7092,26347,15153,16964,0,9718,11816
2/6/16,64186,0,25146,13292,11271,101694,47218,75148,0,53972,42004
5/13/16,61076,0,27767,21608,18671,97470,49744,74058,0,48554,39702
5/24/16,62540,0,28213,16362,18525,106987,52703,81252,0,48733,43262
12/9/16,64871,0,29529,15621,17246,115263,47084,85158,0,67564,35586
2/2/16,121694,6,47809,22613,25682,176876,71656,120489,0,93173,58708
11/27/16,26385,0,8155,5275,5860,24272,14198,14954,0,12852,9339
5/9/16,54528,0,23726,14606,17084,77600,35819,58670,0,40000,26999
9/26/16,44209,0,23615,9082,11784,72614,33191,57909,0,41429,27679
5/11/16,60802,0,28458,16880,17361,104587,43818,78477,0,55030,33789
9/15/16,58411,0,25339,14844,14226,93547,47071,68202,0,50547,37961
1/19/16,107927,0,39748,21495,21316,124906,59028,77239,0,57049,46975
6/21/16,63317,0,33148,15116,16355,106748,47939,83523,0,55152,38106
12/29/16,42480,0,15912,7518,10542,43466,23507,30242,0,29517,15852
9/16/16,53705,0,23499,14520,12952,96441,42750,74575,0,50564,36352
5/22/16,26378,0,7581,4310,5800,34374,11285,26727,0,18043,8931
12/5/16,66704,0,28411,14919,15078,100013,45999,73414,0,55268,36897
6/4/16,40828,0,11379,7699,8873,63158,22598,39620,0,31035,17918
6/9/16,59059,0,24173,16145,13652,91495,49062,71711,0,44546,39857
3/13/16,32252,0,10301,5440,5823,39382,22719,27467,0,17396,18019
9/13/16,53604,0,25992,13437,14534,90507,41576,66120,0,46133,32967
